theta_a,theta_f,coverage,correctness,product,f1,false_alarm_pct,accuracy,refused
0.37,0.63,0.9071759259259259,0.53687165093136,0.487037037037037,0.36516264428121725,36.18055555555556,53.687165093136,401
0.36000000000000004,0.61,0.9108796296296297,0.5344345616264294,0.48680555555555555,0.367403314917127,37.15277777777778,53.443456162642946,385
0.36000000000000004,0.62,0.9071759259259259,0.5355958152589947,0.48587962962962966,0.3671766342141864,36.736111111111114,53.55958152589947,401
0.38,0.65,0.9027777777777778,0.5382051282051282,0.48587962962962966,0.36157390996100675,35.520833333333336,53.820512820512825,420
0.39,0.67,0.9,0.5396090534979424,0.48564814814814816,0.35704022988505746,34.89583333333333,53.96090534979424,432
0.37,0.64,0.9025462962962963,0.5378302128750961,0.48541666666666666,0.3637005649717514,35.729166666666664,53.78302128750961,421
0.38,0.66,0.9009259259259259,0.538540596094553,0.4851851851851852,0.3608540925266904,35.34722222222222,53.8540596094553,428
0.36000000000000004,0.63,0.9020833333333333,0.5370798049781883,0.4844907407407407,0.3665730337078652,36.18055555555556,53.70798049781883,423
0.37,0.65,0.9,0.5380658436213992,0.4842592592592593,0.3622159090909091,35.520833333333336,53.80658436213992,432
0.35000000000000003,0.6,0.9104166666666667,0.5319094838545639,0.4842592592592592,0.3680054926192929,37.604166666666664,53.190948385456394,387
0.39,0.68,0.89375,0.5418285418285418,0.4842592592592592,0.3569611050527081,34.166666666666664,54.18285418285418,459
0.37,0.66,0.8981481481481481,0.5384020618556701,0.4835648148148148,0.3614973262032086,35.34722222222222,53.840206185567006,440
0.35000000000000003,0.61,0.9064814814814814,0.533197139938713,0.48333333333333334,0.367911479944675,37.15277777777778,53.3197139938713,404
0.36000000000000004,0.64,0.8974537037037037,0.5380448800619035,0.4828703703703704,0.3651187522155265,35.729166666666664,53.804488006190354,443
0.38,0.67,0.8956018518518518,0.5391574050142156,0.4828703703703704,0.3579402232625135,34.89583333333333,53.91574050142156,451
0.35000000000000003,0.62,0.9027777777777778,0.5343589743589744,0.48240740740740745,0.36768802228412256,36.736111111111114,53.43589743589744,420
